listing_id,is_hidden
1066530806939669707,0
1066545652823552569,0
1066556446643823324,1
1066557412563545936,1
1066562504300859724,0
1066603101904056364,0
1066624614172557377,0
1066634851727106022,0
1066635995510060248,1
1066664563077744404,1
1066683236672144489,1
1066699405570225587,1
10669776,0
1067135436652484353,0
1067194648438596861,1
1067197084320335725,0
1067250826332402349,0
1067279504928711401,1
1067294540888148174,1
1067316071883260255,0
1067344243218189509,1
1067356663776071600,1
1067370150144288194,1
1067386916446284336,0
1067390736738951365,0
1067395875874064951,0
1067406745225612503,0
1067413832764984773,0
1067427008488061844,0
1067432924403855580,0
1067437280241172167,1
1067479234994682042,1
1067511485762217666,1
1067551336203842488,0
1067606714103538064,0
1067728,0
1067868935193217497,1
1067890087122802147,0
1067939756209832521,0
1067981411076301102,0
1067993333282529939,0
1068073012232731394,0
1068117387355659013,0
1068123587335801359,1
1068137717293254151,0
1068145066700740160,1
10682214,0
1068222510320690646,1
10684240,0
1068541454080415401,1
1068604471078403411,1
1068611003443934653,0
1068633100291959439,0
1068649824066447941,1
1068651507555351904,1
1068665635293427697,0
1068730102433000182,0
1068743882555628144,0
1068785935459410814,1
1068786789439494942,1
1068791867608846789,0
1068812834388003027,0
1068816108657565138,0
1068846245217038186,0
1068854610864477899,1
1068860988979752572,0
1068923764277607395,1
1069294426447742277,0
1069327959769863723,1
1069332233448891456,0
1069374798825509586,0
1069380057732414626,0
1069392870265575038,1
1069475609230792010,0
1069502978742282758,0
1069526958463459439,1
1069560340539835794,1
10695820,0
1069608371311563147,1
1069613723069135258,0
1069624115456651737,1
1069650067919019508,1
1069884,1
1070029752758480640,0
1070039621221644154,0
1070045429552958739,1
1070071289752652983,1
10700775,1
1070161022410062951,1
1070218362647875909,1
1070233509905833119,0
1070247582113428869,0
1070275998933702016,0
1070282603051372192,0
1070294901085392743,0
1070322598478396393,0
1070350456008297853,0
1070705352031629804,1
1070777608126838293,0
1070779264939595109,0
1070779902414394032,1
1070819037186228195,0
1070829185616061125,0
1070845804880063633,0
1070850044335821365,0
1070903296810877879,0
1070904698807903381,0
1070944729774486284,0
1070989881177502196,0
1071001607599207398,1
1071078033950407177,1
1071133415163568012,1
1071354027645122600,0
1071444826789477369,0
1071478099128941845,1
1071478182833319546,1
1071490421051622451,1
1071614684903683613,1
1071628637865929765,1
10716703,1
1071675299340088900,0
1071702296627216558,0
1071705933355534568,0
1071709429807229153,1
1071865719113644463,0
1071929248066303315,1
1071929578739118591,1
10719987,0
10720978,0
1072215009657023124,1
1072322608841843307,1
1072378185182947535,1
1072408649459776461,0
1072410870701159645,1
1072447481717821141,0
1072455160083322664,0
1072456208104532274,1
1072606538139098986,1
1072712822465029350,0
1072886942271593924,1
1072923346399372645,0
1072962,0
1073007202476514788,0
1073099576323690354,0
1073255590452185188,1
1073390134876656736,1
10736750,0
1073751047487322478,0
1073760243531049367,1
1073762173089372707,1
1073813270086019585,0
1073816512503843604,0
1073885771889352374,1
1074007521544337313,0
1074026673189033397,1
1074030415156783052,0
1074036790174724055,1
1074069719187693134,0
1074125739682605025,0
1074127605783266504,0
10741779,0
10742482,0
1074406276788859515,1
1074455204073187894,1
1074531883009370688,0
1074559783741392163,1
1074588480200965277,0
1074619407364009780,0
1074642312598358144,1
1074666937706071060,1
1074683938403343834,1
1074742037095877720,0
1075061930712172415,0
1075104904686649335,0
1075123362466286826,0
1075153645253936224,0
1075183999320810161,1
1075197418811926603,1
1075218108249543542,0
1075327162803129888,1
1075368850402870594,0
1075388582632471981,1
1075473427650943543,0
1075846829627636529,1
1075855125684207449,0
1075879385291187302,0
1075882722202114533,0
1075895887658582055,1
10759265,0
1075957735501683247,1
1075965990587672449,0
1076049470855767176,1
1076054719479299924,1
1076057108045343871,0
1076065730077053601,1
1076066414787547662,1
1076072949630058682,1
1076116962719199681,0
1076129215689024803,1
1076196280253029403,1
1076251415659213602,1
1076458564139429443,1
10767114,0
1076721808131338692,0
1076731475885551806,0
1076768833143846064,1
1076784313543707967,0
1076811605432498848,1
1076892249642662578,1
1076910196949070743,0
1076948837734008901,0
1077279821513367530,0
1077340984820962709,1
1077341026582710795,0
1077343101218167636,0
1077347651186253533,1
1077355601320647763,0
1077367977870745056,0
1077380535573491305,1
1077416447079583962,1
1077511596968732799,1
1077551726294230801,0
1077617419940543632,0
