listing_id,is_hidden,positive_rate,price_clean,predicted_price,discount_pct,in_test_set
3150897,1,1.0,148.0,185.07314189702765,0.20031616428522447,1
755196658010700414,1,0.8333333333333334,112.0,139.99529444437854,0.19997311020693875,1
35635674,1,0.7777777777777778,112.0,139.99529444437854,0.19997311020693875,1
24239356,1,1.0,471.0,586.8620469594883,0.19742637568703847,1
51182897,1,1.0,235.0,292.6348117624253,0.19695131763481344,1
1097823837867170094,1,0.8125,235.0,292.6348117624253,0.19695131763481344,1
9510754,1,1.0,235.0,292.6348117624253,0.19695131763481344,1
1170300615869470673,1,0.8,54.0,67.2361652191033,0.19686079918404698,1
1483311390700196108,1,1.0,61.0,75.94481119391182,0.19678515173015376,1
29377989,1,1.0,46.0,57.24347085362958,0.19641490437187004,1
1333165943137686546,1,1.0,122.0,151.36071706188477,0.19397844851567703,1
1484946995571278702,1,1.0,122.0,151.36071706188477,0.19397844851567703,1
33359760,1,1.0,122.0,151.36071706188477,0.19397844851567703,1
35597834,1,0.8,122.0,151.36071706188477,0.19397844851567703,1
745355850183345547,1,1.0,122.0,151.36071706188477,0.19397844851567703,1
19116251,1,1.0,45.0,55.7832648313216,0.19330644887724346,1
21694258,1,0.7777777777777778,106.0,131.33568198087062,0.19290783432761882,1
1117380996769090396,1,1.0,113.0,139.99529444437854,0.19283001297664348,1
1036822244765030018,1,1.0,171.0,211.77452984288053,0.1925374589339517,1
1426959456146638269,1,1.0,85.0,105.17092528053756,0.1917918400616211,1
1131887542967593699,1,1.0,209.0,258.4278547326671,0.19126364990259326,1
